,Longitude,Latitude,CEC [cmol/kg]
738,-2.5,43.0341,10.1
739,-2.8333,43.2675,19.1
740,-2.7,43.3175,18.6
741,-2.35,43.0841,32.2
742,-2.2166,43.1508,10.0
743,-2.25,43.0841,19.5
744,-2.2666,43.0341,17.3
745,-2.1166,43.0508,17.7
746,-2.0499,43.1341,14.5
747,-1.9333,43.1508,12.5
748,-2.4166,43.0008,32.3
749,-6.6727,38.0728,24.5
750,-6.4366,38.0092,20.8
751,-7.1169,37.9673,23.8
752,-7.0569,37.8392,39.0
753,-6.4059,36.9166,56.2
754,-6.8685,37.9459,18.7
755,-6.8685,37.9328,69.9
756,-6.7335,37.8673,21.6
757,-6.6269,37.949,18.6
758,-6.5835,37.8673,8.0
759,-6.4724,37.8837,27.6
760,-6.2002,37.9173,10.9
761,-7.1419,37.7687,30.2
762,-6.9155,37.6687,9.8
763,-6.8935,37.7164,31.5
764,-6.7155,37.7728,23.1
765,-6.7127,37.7256,5.5
766,-6.5835,37.7839,4.3
767,-6.5669,37.5751,36.0
768,-7.121,37.5751,10.1
769,-7.121,37.5895,16.7
770,-6.9169,37.5534,12.8
771,-7.0002,37.3503,13.8
772,-6.3502,37.4673,2.8
773,-6.4669,37.4006,21.2
774,-6.3724,37.3728,4.7
775,-6.9335,37.2007,22.7
776,-6.8502,37.2006,23.8
777,-6.7335,37.2006,2.4
778,-6.5835,37.1839,2.2
779,-6.4962,37.2505,2.1
780,-6.4335,37.2839,9.3
781,-6.5169,37.2173,3.2
782,-6.5002,37.2006,3.1
783,-6.8169,37.1506,3.6
784,-6.6835,37.1006,2.8
785,-6.5044,37.017,7.4
786,-6.5132,37.1012,1.8
787,-0.7332,42.8341,20.0
788,-0.7165,42.8508,25.1
789,-0.3998,42.7841,34.3
790,-0.2332,42.7841,176.3
791,-0.8499,42.6063,90.0
792,-0.8499,42.6008,17.0
793,-0.7499,42.5508,24.1
794,-0.5499,42.5508,24.3
795,-0.4665,42.5341,9.6
796,0.0168,42.6341,15.1
797,-0.0498,42.6008,16.0
798,0.6169,42.5841,35.6
799,-0.5832,42.4674,72.3
800,0.1502,42.4674,49.5
801,0.0335,42.4341,90.7
802,-0.4665,42.4508,129.7
803,0.5502,42.4841,38.8
804,-0.6999,42.4008,22.4
805,-0.6499,42.3007,46.1
806,-0.7499,42.0007,56.9
807,-0.2832,41.9466,7.8
808,-0.2832,41.941,11.2
809,-0.3498,41.9257,6.7
810,-0.2707,41.8702,1.4
811,-0.1998,41.8868,2.5
812,-0.4499,41.7507,1.5
813,0.3335,41.6007,12.3
814,-0.1832,42.6174,9.6
815,0.0668,42.6008,8.4
816,0.0168,42.5841,27.8
817,-0.1332,42.5341,15.8
818,0.3002,42.6008,8.0
819,0.2335,42.6174,22.6
820,0.3835,42.5674,30.4
821,0.3502,42.5841,16.5
822,-2.7592,38.509,15.0
823,-3.9303,38.1656,9.2
