,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
38,32541738,34.0,20.0,45.0,7.6,8.09,22.4,10.1,670,11.6,1.1,215.3,37.959422007,-2.110420044,2015-08-08,2015-07-22,2015-08-25,1891,1819,2025,2700,2934,3165,3432,3298,3771,1334,22,4956,3717,0.09969989996665556
39,32521732,13.0,48.0,39.0,7.3,7.88,15.67,24.2,676,5.5,1.9,102.2,37.902871588000004,-2.123195765,2015-08-06,2015-07-20,2015-08-23,1672,1615,1725,1960,2091,2367,2627,2535,2942,720,16,3647,2581,0.12791991101223582
40,32121666,6.0,59.0,35.0,7.0,7.46,10.89,9.9,22,0.0,1.2,89.7,37.254209908,-2.462389451,2015-07-04,2015-06-17,2015-07-21,1332,1245,1223,1351,1461,1866,2075,1969,2222,886,14,2249,1529,0.186144578313253
41,32061656,13.0,31.0,56.0,6.7,6.95,5.2,5.2,1,0.0,0.8,25.9,37.155881204,-2.512644956,2015-06-30,2015-06-13,2015-07-17,1441,1250,1195,1163,1340,1635,1742,1693,1865,702,32,1924,1337,0.18557422969187676
42,33182168,33.0,18.0,49.0,7.5,7.91,34.7,12.3,273,40.6,2.1,97.3,41.889374460999996,-2.09916554,2015-07-20,2015-07-03,2015-08-06,1777,2119,2622,3244,3316,3531,3755,3517,3800,1008,18,4154,3488,0.04037864221269043
43,33342164,26.0,24.0,50.0,7.6,8.02,21.7,27.9,512,65.1,2.7,421.0,41.876667386,-1.901802026,2015-07-20,2015-07-03,2015-08-06,1339,1105,1061,1037,1273,1388,1517,1227,1630,628,12,1537,1143,0.08392226148409894
44,33222144,16.0,64.0,19.0,7.6,8.05,11.18,4.6,53,28.6,0.8,185.6,41.681357277,-2.0091472930000003,2015-07-19,2015-07-02,2015-08-05,1319,1198,1352,1919,2175,2585,2835,2746,3039,1140,20,3510,2751,0.17727759914255092
45,33222138,23.0,30.0,48.0,7.3,7.71,14.69,34.4,48,0.0,3.8,219.5,41.627900315,-1.998598725,2015-07-19,2015-07-02,2015-08-05,1575,1737,1880,2295,2280,2538,2786,3032,3217,1213,17,4177,2889,0.13835179275389525
46,32561746,43.0,18.0,38.0,7.6,8.1,19.64,12.2,662,12.8,1.1,198.6,38.033860904,-2.100839519,2015-08-10,2015-07-24,2015-08-27,1748,1799,1961,2357,2437,2671,2891,2922,3162,1030,17,4382,3502,0.1070278461829892
47,29562038,9.0,62.0,29.0,4.9,5.37,5.56,24.8,0,23.9,2.4,182.5,40.129369313000005,-6.068034254,2015-07-11,2015-06-24,2015-07-28,1294,1336,1475,1962,1983,2393,2776,2774,3195,953,12,3814,2356,0.17145270270270271
48,29661968,21.0,26.0,53.0,5.0,5.42,7.46,12.2,0,8.3,1.6,56.8,39.530086719,-5.7985247410000005,2015-07-06,2015-06-19,2015-07-23,1351,1279,1319,1689,1852,2047,2238,2310,2557,1200,17,3177,1963,0.15528882220555137
49,33482044,40.0,22.0,38.0,7.3,7.69,15.97,20.2,11,56.2,2.1,513.0,40.82599736,-1.532404354,2015-06-21,2015-06-04,2015-07-08,1549,1497,1631,2000,2172,2602,2844,2802,3072,907,19,3766,2693,0.1670137442732195
50,33342044,36.0,16.0,48.0,7.7,8.08,13.84,13.2,97,21.2,1.0,451.0,40.806635346,-1.696205589,2015-06-21,2015-06-04,2015-07-08,1545,1428,1518,2094,2178,2384,2594,2447,2722,814,14,2997,2782,0.07773618145782867
51,33342038,30.0,44.0,26.0,7.3,7.45,11.35,12.5,2,46.1,1.5,563.7,40.753086881,-1.686176633,2015-06-21,2015-06-04,2015-07-08,1612,1964,2311,3202,3085,3462,3805,4065,4169,1277,42,4594,3122,0.11875602036603826
52,33382038,38.0,17.0,45.0,7.8,8.18,18.02,23.1,290,19.3,0.7,268.7,40.75864104,-1.639423778,2015-06-21,2015-06-04,2015-07-08,1653,1699,1899,2373,2402,2870,3184,3156,3485,1079,31,3668,2828,0.14161692892023875
