,Longitude,Latitude,P [mg/kg]
743,-2.5819,37.2701,4.0
744,-2.5678,37.2496,4.0
745,-2.575,37.2548,2.0
746,-2.57,37.2526,4.0
747,-2.58,37.2801,3.0
748,-2.63,37.2843,3.0
749,-2.6356,37.2848,3.0
750,-2.7877,37.3644,9.6
751,-2.7775,37.3585,12.5
752,-2.7643,37.3705,10.9
753,-5.6113,40.084,3.8
754,-5.9029,40.0901,4.6
755,-5.7585,40.084,2.9
756,-5.8021,40.334,1.0
757,-5.7196,39.7007,1.0
758,-6.7085,40.209,1.0
759,-5.6696,36.6173,1.0
760,0.0502,40.584,2.9
761,0.1127,40.1135,0.8
762,0.0502,40.6507,3.4
763,-4.9334,38.1173,1.0
764,-4.2167,38.2423,9.8
765,-6.3526,40.193,0.8
766,-7.2699,39.3433,1.3
767,-7.2459,39.3262,0.9
768,-5.3603,39.4826,0.8
769,-5.3445,39.4051,0.1
770,-5.4103,39.5904,14.9
771,-5.4536,39.5129,0.6
772,-5.585,39.3876,3.4
773,-5.3444,39.4717,4.6
774,-5.3523,39.4523,0.8
775,-5.3374,39.4138,0.7
776,-6.7818,40.2219,2.8
777,-6.7876,40.1947,3.4
778,-6.2985,40.2963,0.8
779,-5.8679,40.2676,2.0
780,-5.8767,40.2586,4.1
781,-5.7869,40.0565,0.5
782,-6.3382,40.3398,0.5
783,-6.7846,40.2259,2.9
784,-6.2772,40.2967,0.4
785,-5.8621,40.3267,1.9
786,-5.8295,40.3221,3.4
787,-5.3355,39.4713,0.7
788,-6.2772,40.4092,0.4
789,-6.3869,40.3813,0.5
790,-6.2635,40.3586,0.7
791,-6.7783,40.2392,9.1
792,-5.67,40.2689,0.3
793,-5.7373,40.2164,1.3
794,-3.4334,36.9673,13.3
795,-3.4,36.9506,8.9
796,-2.8694,37.3839,8.6
797,-6.4155,39.007,3.8
798,-5.9002,40.2174,5.4
799,-6.4481,37.5801,4.0
800,-6.7502,37.1173,1.0
801,-3.0167,37.884,1.6
802,-2.7833,38.1173,1.8
803,-3.8,40.4007,8.0
804,-3.5695,40.2757,7.7
805,-3.225,40.5138,4.0
806,-4.3504,40.2904,4.0
807,-3.8056,40.7496,4.5
808,-5.0168,36.6989,3.7
809,-4.9692,36.752,1.2
810,-0.8416,37.6012,7.2
811,-4.7168,42.9174,8.6
812,-8.7448,42.0257,4.0
813,-2.5833,42.0774,18.4
814,-2.8333,42.3027,263.0
815,-6.0699,40.434,2.4
816,-6.1946,40.5493,1.7
817,-6.0593,40.479,5.9
818,-3.9195,43.3966,8.4
819,-4.0251,43.2508,1.9
820,-4.4029,41.0257,4.6
821,-4.2834,41.0549,9.1
822,-3.8653,41.1924,8.9
823,-4.2834,41.3674,6.2
824,-4.3917,41.3216,3.0
825,-4.1723,41.3313,4.2
826,-4.2626,41.3216,2.9
827,-4.507,40.8721,8.9
